alpha_key,alpha_corr_plot,J_level,delta_e_trim,Cm_slope,Cm_intercept,CL_trim,CD_trim,CLCD_trim
-2,-1.9942390056666666,2.5,2.1976792006137726,-0.02775594580999999,0.06099866479999997,0.023205881631233074,0.06157842950048957,0.37685081966971207
0,0.17553037853333334,2.5,-1.330905215767242,-0.027351322519999995,-0.03640201780000002,0.22048060281005266,0.06278243383123609,3.5118199368110052
4,4.5147740306666675,2.5,-8.161493318317664,-0.026996976119,-0.22033564021000004,0.6013510438753428,0.07665690186553387,7.844708424692017
8,8.8046618405,2.5,-16.54088226020919,-0.0261497824675,-0.4325404729250001,0.9162724960170779,0.10500851604107408,8.725697024979173
12,12.952569526666666,2.5,-23.266017927267868,-0.029295320074999995,-0.6815854420500002,1.0418622976207952,0.1496523519710748,6.961883885541399
-2,-1.989357623,5.0,1.795771193937782,-0.02729606331,0.04901748419999999,0.02743586439342115,0.08017925158999582,0.3421815974750804
0,0.17609676886666667,5.0,-1.5454924947814697,-0.027074141700000002,-0.04184288280000002,0.22114584604198842,0.08113997872009199,2.725485630269558
4,4.509316423333334,5.0,-8.000675986878075,-0.026843350941499998,-0.214764953285,0.596651619951442,0.09358457374608739,6.375533873459427
8,8.787246961333333,5.0,-15.950718440572562,-0.025926237619999997,-0.41354211650000006,0.9015471271868662,0.12318087866964013,7.318888588258356
12,12.92426964,5.0,-23.481615891571916,-0.02725247335,-0.6399321113000002,1.0166769413995167,0.17745439991539483,5.729229266133943
